participant_id,date,overall_confidence,pattern_names,n_deviations,n_patterns,state_bytes,raw_markers_bytes,raw_sensor_records_bytes,state_gzip_bytes,raw_markers_gzip_bytes,raw_sensor_records_gzip_bytes,raw_markers_to_state_ratio,raw_sensor_records_to_state_ratio
u01,2013-05-04,medium,circadian-instability,3,1,1902,693,201943,941,309,9819,0.3643533123028391,106.17402733964248
u01,2013-05-05,medium,circadian-instability,3,1,1877,577,408,952,246,211,0.30740543420351624,0.21736814064997337
u01,2013-05-23,medium,behavioral-withdrawal,4,1,2368,675,597026,1066,299,30191,0.28505067567567566,252.12246621621622
u03,2013-04-23,medium,fragmented-attention-with-sleep-loss,3,1,2198,643,854819,1021,289,32779,0.29253867151956325,388.9076433121019
u03,2013-04-24,medium,fragmented-attention-with-sleep-loss,2,1,1871,628,585030,904,280,25005,0.33564938535542493,312.6830571886692
u03,2013-04-25,medium,fragmented-attention-with-sleep-loss,2,1,1879,616,725123,903,278,37163,0.32783395423097395,385.90899414582225
u04,2013-04-16,high,fragmented-attention-with-sleep-loss,3,1,1974,657,860114,948,301,34432,0.33282674772036475,435.7213779128673
u04,2013-04-17,high,phone-mediated-sleep-delay,3,1,2051,673,616833,953,306,31066,0.32813261823500733,300.74744027303757
u04,2013-04-18,high,phone-mediated-sleep-delay,3,1,2054,668,502560,947,298,28823,0.3252190847127556,244.6738072054528
u04,2013-04-19,high,phone-mediated-sleep-delay,3,1,2054,697,537884,947,304,27526,0.3393378773125609,261.87147030185
u04,2013-04-21,medium,behavioral-withdrawal,2,1,1673,673,584856,837,302,27747,0.40227136879856545,349.5851763299462
u04,2013-04-22,medium,behavioral-withdrawal,2,1,1676,686,662858,842,308,31142,0.40930787589498807,395.5
u04,2013-05-20,medium,behavioral-withdrawal,4,1,2299,642,497484,1011,295,27867,0.27925184862983904,216.39147455415397
u04,2013-05-21,medium,behavioral-withdrawal,2,1,1576,698,496416,804,306,27763,0.44289340101522845,314.98477157360406
u04,2013-05-22,medium,behavioral-withdrawal,3,1,1929,685,496648,947,297,27683,0.35510627268014516,257.4639709694142
u05,2013-04-02,high,behavioral-withdrawal,4,1,2471,696,820466,1063,310,32830,0.28166734115742614,332.0380412788345
u05,2013-04-03,high,fragmented-attention-with-sleep-loss,2,1,1694,661,872744,871,298,34130,0.3902007083825266,515.1971664698938
u05,2013-04-09,medium,circadian-instability,3,1,1884,654,637600,898,298,29832,0.3471337579617834,338.42887473460723
u05,2013-04-10,medium,circadian-instability,3,1,1869,698,641755,879,309,30268,0.3734617442482611,343.3681112894596
u05,2013-04-11,medium,circadian-instability,1,1,1159,697,674840,673,311,30256,0.6013805004314063,582.2605694564279
u05,2013-04-12,medium,circadian-instability,1,1,1169,657,688486,688,302,30271,0.5620188195038495,588.9529512403764
u05,2013-04-13,medium,circadian-instability,2,1,1525,629,692779,819,291,29629,0.4124590163934426,454.28131147540984
u07,2013-04-09,medium,behavioral-withdrawal,3,1,1948,648,583346,911,303,31611,0.3326488706365503,299.45893223819303
u07,2013-04-10,medium,behavioral-withdrawal,4,1,2298,673,658632,1041,305,33501,0.2928633594429939,286.61096605744126
u07,2013-04-11,high,behavioral-withdrawal,2,1,1578,685,801892,805,304,36194,0.4340937896070976,508.169835234474
u07,2013-04-27,high,behavioral-withdrawal,2,1,1581,632,1001464,809,297,38352,0.3997469955724225,633.43706514864
u08,2013-04-02,medium,behavioral-withdrawal,6,1,3019,690,1272399,1225,308,43787,0.22855250082808878,421.4637297118251
u08,2013-04-06,medium,phone-mediated-sleep-delay,3,1,1862,672,814790,882,299,33536,0.3609022556390977,437.5886143931257
u08,2013-04-07,medium,phone-mediated-sleep-delay,3,1,1945,673,941178,953,304,37123,0.3460154241645244,483.8961439588689
u08,2013-04-25,medium,fragmented-attention-with-sleep-loss,2,1,1771,657,1662669,876,298,55936,0.3709768492377188,938.8306041784302
u08,2013-05-11,medium,circadian-instability,5,1,2594,696,1376314,1105,302,48706,0.2683114880493446,530.5759444872783
u08,2013-05-12,medium,circadian-instability,2,1,1516,684,1303668,808,309,44103,0.45118733509234826,859.9393139841688
u08,2013-05-14,high,behavioral-withdrawal,2,1,1481,698,1373033,763,317,46638,0.4713031735313977,927.0985820391627
u08,2013-05-26,high,behavioral-withdrawal,3,1,2043,659,475028,961,300,24120,0.3225648556045032,232.51492902594225
u08,2013-05-27,high,behavioral-withdrawal,2,1,1844,672,968331,884,309,44596,0.3644251626898048,525.1252711496746
