case_id,blind_label,condition,participant_id,date,calendar_action,burden,adherence_probability,followed
S024,B,behavior_aware,P008,2026-03-12,protect_sleep,low,0.65,False
S025,A,behavior_aware,P009,2026-03-10,reschedule,medium,0.1,False
S025,B,calendar_only,P009,2026-03-10,add_buffer,low,0.5,False
S026,A,calendar_only,P009,2026-03-11,add_buffer,low,0.5,False
S026,B,behavior_aware,P009,2026-03-11,reschedule,low,0.3,False
S027,A,behavior_aware,P009,2026-03-12,add_buffer,medium,0.3,False
S027,B,calendar_only,P009,2026-03-12,keep,low,0.6,True
S028,A,calendar_only,P010,2026-03-11,add_buffer,low,0.75,True
S028,B,behavior_aware,P010,2026-03-11,move_to_daytime,medium,0.45,True
S029,A,calendar_only,P010,2026-03-12,keep,low,0.85,True
S029,B,behavior_aware,P010,2026-03-12,protect_sleep,medium,0.45,True
S030,A,behavior_aware,P010,2026-03-13,reduce_evening_load,medium,0.4,False
S030,B,calendar_only,P010,2026-03-13,add_buffer,low,0.75,False
S031,A,calendar_only,P011,2026-03-10,add_buffer,low,0.75,True
S031,B,behavior_aware,P011,2026-03-10,move_to_daytime,medium,0.45,True
S032,A,behavior_aware,P011,2026-03-11,protect_sleep,medium,0.45,False
S032,B,calendar_only,P011,2026-03-11,keep,low,0.85,True
S033,A,behavior_aware,P011,2026-03-12,reduce_evening_load,medium,0.4,True
S033,B,calendar_only,P011,2026-03-12,add_buffer,low,0.75,True
S034,A,behavior_aware,P012,2026-03-10,suggest_break,low,0.95,True
S034,B,calendar_only,P012,2026-03-10,add_buffer,low,0.95,True
S035,A,calendar_only,P012,2026-03-11,add_buffer,low,0.95,True
S035,B,behavior_aware,P012,2026-03-11,suggest_break,low,0.95,True
S036,A,behavior_aware,P012,2026-03-12,reschedule,low,0.8,False
S036,B,calendar_only,P012,2026-03-12,keep,low,0.95,True
S037,A,behavior_aware,P013,2026-03-10,protect_sleep,low,0.65,True
S037,B,calendar_only,P013,2026-03-10,keep,low,0.85,True
S038,A,calendar_only,P013,2026-03-11,add_buffer,low,0.75,True
S038,B,behavior_aware,P013,2026-03-11,protect_sleep,low,0.65,True
S039,A,behavior_aware,P013,2026-03-12,reduce_evening_load,low,0.6,True
S039,B,calendar_only,P013,2026-03-12,add_buffer,low,0.75,False
S040,A,calendar_only,P014,2026-03-10,add_buffer,low,0.5,True
S040,B,behavior_aware,P014,2026-03-10,reschedule,low,0.3,False
S041,A,behavior_aware,P014,2026-03-11,add_buffer,medium,0.3,True
S041,B,calendar_only,P014,2026-03-11,keep,low,0.6,False
S042,A,behavior_aware,P014,2026-03-12,reschedule,medium,0.1,False
S042,B,calendar_only,P014,2026-03-12,add_buffer,low,0.5,False
S043,A,behavior_aware,P015,2026-03-10,reduce_evening_load,medium,0.4,False
S043,B,calendar_only,P015,2026-03-10,add_buffer,low,0.75,True
S044,A,calendar_only,P015,2026-03-11,add_buffer,low,0.75,True
S044,B,behavior_aware,P015,2026-03-11,move_to_daytime,medium,0.45,False
S045,A,behavior_aware,P015,2026-03-12,protect_sleep,medium,0.45,False
S045,B,calendar_only,P015,2026-03-12,keep,low,0.85,False
S046,A,calendar_only,P016,2026-03-10,keep,low,0.85,True
S046,B,behavior_aware,P016,2026-03-10,protect_sleep,medium,0.45,False
S047,A,calendar_only,P016,2026-03-11,add_buffer,low,0.75,True
S047,B,behavior_aware,P016,2026-03-11,reduce_evening_load,medium,0.4,False
S048,A,behavior_aware,P016,2026-03-12,move_to_daytime,medium,0.45,False
S048,B,calendar_only,P016,2026-03-12,add_buffer,low,0.75,True
S049,A,calendar_only,P017,2026-03-10,add_buffer,low,0.95,True
S049,B,behavior_aware,P017,2026-03-10,suggest_break,low,0.95,True
S050,A,calendar_only,P017,2026-03-11,keep,low,0.95,True
S050,B,behavior_aware,P017,2026-03-11,reschedule,low,0.8,True
S051,A,calendar_only,P017,2026-03-12,add_buffer,low,0.95,False
S051,B,behavior_aware,P017,2026-03-12,suggest_break,low,0.95,True
S052,A,calendar_only,P018,2026-03-10,add_buffer,low,0.75,False
S052,B,behavior_aware,P018,2026-03-10,protect_sleep,low,0.65,True
S053,A,behavior_aware,P018,2026-03-11,reduce_evening_load,low,0.6,False
S053,B,calendar_only,P018,2026-03-11,add_buffer,low,0.75,True
S054,A,calendar_only,P018,2026-03-12,keep,low,0.85,False
S054,B,behavior_aware,P018,2026-03-12,protect_sleep,low,0.65,True
S055,A,calendar_only,P019,2026-03-10,keep,low,0.6,False
S055,B,behavior_aware,P019,2026-03-10,add_buffer,medium,0.3,True
S056,A,behavior_aware,P019,2026-03-11,reschedule,medium,0.1,False
S056,B,calendar_only,P019,2026-03-11,add_buffer,low,0.5,False
S057,A,behavior_aware,P019,2026-03-12,reschedule,low,0.3,False
S057,B,calendar_only,P019,2026-03-12,add_buffer,low,0.5,False
S058,A,behavior_aware,P020,2026-03-10,move_to_daytime,medium,0.45,True
S058,B,calendar_only,P020,2026-03-10,add_buffer,low,0.75,True
S059,A,calendar_only,P020,2026-03-11,keep,low,0.85,False
S059,B,behavior_aware,P020,2026-03-11,protect_sleep,medium,0.45,True
S060,A,calendar_only,P020,2026-03-12,add_buffer,low,0.75,False
S060,B,behavior_aware,P020,2026-03-12,reduce_evening_load,medium,0.4,True
